City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Launceston,AU,-41.45,147.1667,48.79,82,40,10.36,light rain
202,Wanaka,NZ,-44.7,169.15,32.38,82,25,3.91,scattered clouds
203,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.36,82,71,10.09,broken clouds
204,Bonfim,BR,3.0833,-59.95,74.77,91,98,2.42,overcast clouds
205,Tasiilaq,GL,65.6145,-37.6368,39.11,58,20,4.41,few clouds
206,Wenling,CN,28.3669,121.36,79.66,87,3,2.1,clear sky
207,Saskylakh,RU,71.9167,114.0833,57.49,96,100,10.16,light rain
208,Aksay,RU,47.26,39.87,79.25,42,7,8.99,clear sky
209,Savannah Bight,HN,16.45,-85.85,82.6,79,97,21.88,overcast clouds
210,Weatherford,US,32.7593,-97.7972,99.93,85,100,18.39,overcast clouds
211,Biloela,AU,-24.4167,150.5,56.88,67,86,6.13,overcast clouds
212,Urengoy,RU,65.9667,78.3667,47.8,71,0,15.03,clear sky
213,Namibe,AO,-15.1961,12.1522,61.74,88,77,4.23,broken clouds
214,Zhezkazgan,KZ,47.8043,67.7144,64.71,76,14,7.7,few clouds
215,San Cristobal,VE,7.7669,-72.225,78.24,60,76,5.14,broken clouds
216,Eureka,US,40.8021,-124.1637,88.66,74,65,5.01,broken clouds
217,Port Elizabeth,ZA,-33.918,25.5701,53.98,74,10,14.99,clear sky
218,Mwanza,TZ,-2.5167,32.9,69.17,60,0,3.04,clear sky
219,Portland,US,45.5234,-122.6762,103.55,33,38,7.4,scattered clouds
220,Chuy,UY,-33.6971,-53.4616,50.25,77,1,3.58,clear sky
221,Aguilas,ES,37.4063,-1.5829,80.83,78,55,8.79,broken clouds
222,Saint George,US,37.1041,-113.5841,99.63,32,0,4.61,clear sky
223,Chateaubelair,VC,13.2833,-61.25,79.32,83,27,13.42,scattered clouds
224,Wanning,CN,18.8003,110.3967,79.83,87,21,6.49,few clouds
225,Pacific Grove,US,36.6177,-121.9166,76.55,82,57,5.99,broken clouds
226,Ajaccio,FR,42.0,8.9167,73.45,83,0,5.75,clear sky
227,San Patricio,US,28.017,-97.5169,97.52,42,82,17.09,broken clouds
228,Buala,SB,-8.145,159.5921,82.92,73,33,7.94,scattered clouds
229,Port Macquarie,AU,-31.4333,152.9167,44.89,81,86,6.17,overcast clouds
230,Kehl,DE,48.573,7.8152,74.01,53,0,5.75,clear sky
231,Upernavik,GL,72.7868,-56.1549,44.74,83,100,5.75,overcast clouds
232,Lixourion,GR,38.2019,20.4314,79.02,76,0,7.4,clear sky
233,Jalu,LY,29.0331,21.5482,83.41,46,0,13.82,clear sky
234,Yatou,CN,37.15,122.3833,74.82,98,100,5.39,light rain
235,Coihaique,CL,-45.5752,-72.0662,35.71,91,100,5.46,overcast clouds
236,Grootfontein,NA,-19.5667,18.1167,62.26,24,2,6.73,clear sky
237,East London,ZA,-33.0153,27.9116,58.73,63,100,14.23,overcast clouds
238,Kunstat,CZ,49.5065,16.5172,62.73,78,91,11.23,overcast clouds
239,Kirkwall,GB,58.9848,-2.9587,53.96,87,35,3.44,scattered clouds
240,Salalah,OM,17.0151,54.0924,75.45,91,68,6.51,broken clouds
241,Binga,ZW,-17.6203,27.3414,59.16,45,0,1.61,clear sky
242,Tacuarembo,UY,-31.7333,-55.9833,50.81,77,0,3.18,clear sky
243,Westport,US,41.1415,-73.3579,87.82,46,10,5.01,clear sky
244,Bengkulu,ID,-3.8004,102.2655,76.71,86,100,4.47,overcast clouds
245,Nalut,LY,30.3333,10.85,85.24,17,0,9.46,clear sky
246,Walkerton,US,41.4667,-86.4831,83.39,52,20,5.75,few clouds
247,Nanortalik,GL,60.1432,-45.2371,44.73,90,49,7.99,scattered clouds
248,Aden,YE,12.7794,45.0367,84.13,79,6,7.09,clear sky
249,Hihya,EG,30.6713,31.588,73.99,73,1,5.01,clear sky
250,Inuvik,CA,68.3499,-133.7218,49.84,64,99,5.06,overcast clouds
251,Colon,PA,9.3592,-79.9014,85.35,78,100,10.78,overcast clouds
252,Fortuna,US,40.5982,-124.1573,74.93,72,20,13.8,few clouds
253,Port Lincoln,AU,-34.7333,135.8667,53.01,75,48,19.08,scattered clouds
254,San Juan De Los Morros,VE,9.9115,-67.3538,81.16,66,56,2.68,broken clouds
255,Kawalu,ID,-7.3817,108.2082,70.77,96,96,2.04,overcast clouds
256,Hirara,JP,24.8,125.2833,82.67,89,75,5.75,broken clouds
257,Sid,RS,45.1283,19.2264,69.55,94,68,7.56,broken clouds
258,Murgud,IN,16.4,74.2,72.41,96,100,4.03,overcast clouds
259,Kathmandu,NP,27.7167,85.3167,68.14,95,100,1.92,moderate rain
260,Damavand,IR,35.7178,52.065,71.56,48,83,3.31,broken clouds
261,Bairiki,KI,1.3292,172.9752,81.16,68,82,17.76,broken clouds
262,Inongo,CD,-1.95,18.2667,73.29,63,78,2.84,broken clouds
263,Khani,GE,41.9563,42.9566,63.97,88,23,3.09,few clouds
264,Spirit River,CA,55.7833,-118.8361,70.41,57,81,2.55,broken clouds
265,Kasongo-Lunda,CD,-6.4667,16.8167,72.59,35,1,2.28,clear sky
266,Tual,ID,-5.6667,132.75,79.11,87,62,19.44,broken clouds
267,Ciudad Ojeda,VE,10.1964,-71.3082,88.57,58,4,8.7,clear sky
268,Constitucion,CL,-35.3333,-72.4167,52.97,80,100,3.83,overcast clouds
269,Lagoa,PT,39.05,-27.9833,73.4,66,0,1.63,clear sky
270,Unai,BR,-16.3575,-46.9061,75.92,29,0,0.78,clear sky
271,Svetlaya,RU,46.5389,138.3297,74.21,76,10,7.4,clear sky
272,Kamenka,RU,51.3223,42.7678,69.01,68,100,10.38,overcast clouds
273,Narsaq,GL,60.9167,-46.05,46.65,85,10,7.67,clear sky
274,Venancio Aires,BR,-29.6064,-52.1919,55.83,81,3,0.6,clear sky
275,Belyy Yar,RU,53.6039,91.3903,62.49,88,0,6.71,light rain
276,Tarauaca,BR,-8.1614,-70.7656,83.32,56,83,3.74,broken clouds
277,Ipixuna,BR,-1.7625,-48.8043,74.59,96,98,2.71,moderate rain
278,Sambava,MG,-14.2667,50.1667,69.58,87,63,9.24,light rain
279,Asau,RO,46.4333,26.4,69.28,90,51,4.68,light rain
280,Barsovo,RU,61.1667,73.1667,69.93,80,61,7.49,broken clouds
